domain,role_family,target_role,competency,related_skills,candidate_answer,star_relevance_score,technical_accuracy_score,evidence_level,final_answer_quality_label
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Pada proyek terakhir terkait Interactive Dashboard Optimization & Warehousing, saya bertanggung jawab penuh menggunakan data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.99,0.95,5,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Pada proyek terakhir terkait Interactive Dashboard Optimization & Warehousing, saya bertanggung jawab penuh menggunakan data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.96,0.98,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Pada proyek terakhir terkait Interactive Dashboard Optimization & Warehousing, saya bertanggung jawab penuh menggunakan data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.95,0.93,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Pada proyek terakhir terkait Interactive Dashboard Optimization & Warehousing, saya bertanggung jawab penuh menggunakan data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.95,0.89,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Pada proyek terakhir terkait Interactive Dashboard Optimization & Warehousing, saya bertanggung jawab penuh menggunakan data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.97,0.92,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Saya pernah ikut tim mengerjakan Interactive Dashboard Optimization & Warehousing pakai data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.15,0.25,1,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Saya pernah ikut tim mengerjakan Interactive Dashboard Optimization & Warehousing pakai data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.25,0.36,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Saya pernah ikut tim mengerjakan Interactive Dashboard Optimization & Warehousing pakai data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.27,0.29,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Saya pernah ikut tim mengerjakan Interactive Dashboard Optimization & Warehousing pakai data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.29,0.4,1,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Interactive Dashboard Optimization & Warehousing,"data visualization, tableau, power bi, google looker studio, bigquery","Saya pernah ikut tim mengerjakan Interactive Dashboard Optimization & Warehousing pakai data visualization, tableau, power bi, google looker studio, bigquery. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.42,0.21,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Pada proyek terakhir terkait Statistical Inference & Exploratory Analytics, saya bertanggung jawab penuh menggunakan statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.89,0.99,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Pada proyek terakhir terkait Statistical Inference & Exploratory Analytics, saya bertanggung jawab penuh menggunakan statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.91,0.93,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Pada proyek terakhir terkait Statistical Inference & Exploratory Analytics, saya bertanggung jawab penuh menggunakan statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.89,0.97,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Pada proyek terakhir terkait Statistical Inference & Exploratory Analytics, saya bertanggung jawab penuh menggunakan statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.88,0.88,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Pada proyek terakhir terkait Statistical Inference & Exploratory Analytics, saya bertanggung jawab penuh menggunakan statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.99,0.9,5,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Saya pernah ikut tim mengerjakan Statistical Inference & Exploratory Analytics pakai statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.17,0.3,1,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Saya pernah ikut tim mengerjakan Statistical Inference & Exploratory Analytics pakai statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.24,0.43,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Saya pernah ikut tim mengerjakan Statistical Inference & Exploratory Analytics pakai statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.24,0.2,1,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Saya pernah ikut tim mengerjakan Statistical Inference & Exploratory Analytics pakai statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.35,0.36,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Statistical Inference & Exploratory Analytics,"statistical analysis, data analytics, excel, data exploration, scikit-learn","Saya pernah ikut tim mengerjakan Statistical Inference & Exploratory Analytics pakai statistical analysis, data analytics, excel, data exploration, scikit-learn. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.38,0.25,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Pada proyek terakhir terkait Business Intelligence & Strategic Communication, saya bertanggung jawab penuh menggunakan business intelligence, data analytics, tableau, communication. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.94,0.93,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Pada proyek terakhir terkait Business Intelligence & Strategic Communication, saya bertanggung jawab penuh menggunakan business intelligence, data analytics, tableau, communication. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.88,0.97,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Pada proyek terakhir terkait Business Intelligence & Strategic Communication, saya bertanggung jawab penuh menggunakan business intelligence, data analytics, tableau, communication. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.93,0.95,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Pada proyek terakhir terkait Business Intelligence & Strategic Communication, saya bertanggung jawab penuh menggunakan business intelligence, data analytics, tableau, communication. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.99,0.92,5,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Pada proyek terakhir terkait Business Intelligence & Strategic Communication, saya bertanggung jawab penuh menggunakan business intelligence, data analytics, tableau, communication. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.85,0.94,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Saya pernah ikut tim mengerjakan Business Intelligence & Strategic Communication pakai business intelligence, data analytics, tableau, communication. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.15,0.21,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Saya pernah ikut tim mengerjakan Business Intelligence & Strategic Communication pakai business intelligence, data analytics, tableau, communication. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.22,0.24,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Saya pernah ikut tim mengerjakan Business Intelligence & Strategic Communication pakai business intelligence, data analytics, tableau, communication. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.37,0.29,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Saya pernah ikut tim mengerjakan Business Intelligence & Strategic Communication pakai business intelligence, data analytics, tableau, communication. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.17,0.49,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Business Intelligence & Strategic Communication,"business intelligence, data analytics, tableau, communication","Saya pernah ikut tim mengerjakan Business Intelligence & Strategic Communication pakai business intelligence, data analytics, tableau, communication. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.42,0.25,1,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Automated ETL Pipeline Scripting,"python, sql, data analytics, data cleaning","Pada proyek terakhir terkait Automated ETL Pipeline Scripting, saya bertanggung jawab penuh menggunakan python, sql, data analytics, data cleaning. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.86,0.95,5,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Automated ETL Pipeline Scripting,"python, sql, data analytics, data cleaning","Pada proyek terakhir terkait Automated ETL Pipeline Scripting, saya bertanggung jawab penuh menggunakan python, sql, data analytics, data cleaning. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.96,0.89,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Automated ETL Pipeline Scripting,"python, sql, data analytics, data cleaning","Pada proyek terakhir terkait Automated ETL Pipeline Scripting, saya bertanggung jawab penuh menggunakan python, sql, data analytics, data cleaning. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.88,0.94,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Automated ETL Pipeline Scripting,"python, sql, data analytics, data cleaning","Pada proyek terakhir terkait Automated ETL Pipeline Scripting, saya bertanggung jawab penuh menggunakan python, sql, data analytics, data cleaning. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.95,0.93,5,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Automated ETL Pipeline Scripting,"python, sql, data analytics, data cleaning","Pada proyek terakhir terkait Automated ETL Pipeline Scripting, saya bertanggung jawab penuh menggunakan python, sql, data analytics, data cleaning. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.9,0.91,5,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Automated ETL Pipeline Scripting,"python, sql, data analytics, data cleaning","Saya pernah ikut tim mengerjakan Automated ETL Pipeline Scripting pakai python, sql, data analytics, data cleaning. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.32,0.43,1,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Automated ETL Pipeline Scripting,"python, sql, data analytics, data cleaning","Saya pernah ikut tim mengerjakan Automated ETL Pipeline Scripting pakai python, sql, data analytics, data cleaning. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.16,0.25,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Automated ETL Pipeline Scripting,"python, sql, data analytics, data cleaning","Saya pernah ikut tim mengerjakan Automated ETL Pipeline Scripting pakai python, sql, data analytics, data cleaning. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.11,0.4,2,LOW_QUALITY
