sample_id,domain,role_family,target_role,competency,question,answer,role_relevance,star_structure,evidence_specificity,technical_accuracy,communication_clarity,self_awareness,evidence_level,weakness_tags,need_clarification,clarification_type,final_score_0_100,final_score_0_1,quality_label,has_tool,has_metric,has_impact,has_action,has_context,answer_length_words
AQD-933F7C,Information & Technology,Data & AI,Data Analyst,Teamwork & Collaboration,Ceritakan pengalamanmu saat harus bekerja sama dalam tim untuk menyelesaikan sebuah proyek IT. Apa peran spesifikmu dan bagaimana kamu menangani perbedaan pendapat jika ada?,"Waktu itu saya bekerja dalam tim untuk sebuah proyek IT. Peran saya di sana sangat krusial karena saya yang menangani Python, R, SQL, PostgreSQL, MySQL, MongoDB, Apache Spark, Hadoop, Kafka, Tableau, Power BI, Excel, Pandas, NumPy, Scikit-Learn, TensorFlow, PyTorch, Docker, Kubernetes, AWS, S3, EC2, Redshift, Google Cloud Platform, BigQuery, Airflow, Git, GitHub, GitLab, Jira, Confluence, Trello, dan Slack. Kalau ada perbedaan pendapat di dalam tim, ya saya langsung pakai Apache Airflow saja untuk orkestrasi datanya, lalu dbt untuk transformasinya, dan visualisasinya pakai Looker Studio supaya semuanya terintegrasi dengan mulus tanpa perdebatan.",35,20,15,40,30,20,1,context_missing;measurable_result_missing;buzzword_salad;action_missing,True,context,26.75,0.2675,Weak,1,0,0,0,0,91
AQD-9DE263,Information & Technology,Data & AI,Data Analyst,Teamwork & Collaboration,Ceritakan pengalamanmu saat harus bekerja sama dalam tim untuk menyelesaikan sebuah proyek IT. Apa peran spesifikmu dan bagaimana kamu menangani perbedaan pendapat jika ada?,"Jadi waktu itu saya bekerja dalam tim beranggotakan lima orang untuk proyek migrasi data warehousing dari sistem on-premise ke Google Cloud Platform. Peran saya sangat spesifik sebagai Data Analyst yang bertanggung jawab atas ETL pipeline dan pemodelan data. Nah, saat merancang skema, sempat ada perbedaan pendapat yang cukup sengit dengan backend engineer. Dia ingin langsung menerapkan denormalisasi total pada semua tabel agar query-nya lebih sederhana saat di-consume oleh aplikasi. Namun, saya bersikeras menerapkan pendekatan dimensional modeling dengan star schema dari metodologi Ralph Kimball, memisahkan fact table dan dimension table secara ketat. Untuk meyakinkan tim, saya membuat perbandingan teknis langsung. Saya menarik query execution plan dari database PostgreSQL dan menunjukkan bahwa dengan memanfaatkan B-Tree index pada surrogate keys, kita bisa menjaga kompleksitas waktu pencarian tetap di O(log n), sementara jika menggunakan denormalisasi total tanpa indexing yang tepat, kita berisiko mengalami nested loop join dengan kompleksitas O(n^2) pada tabel raksasa tersebut. Saya juga mendemonstrasikan penulisan script Python menggunakan library Pandas untuk preprocessing dan Apache Airflow untuk mendesain DAG orchestrator-nya, serta melakukan tuning manual pada modul k-means clustering menggunakan matriks Euclidean distance untuk mereduksi inersia kluster data mentah sebelum dimuat ke target warehouse. Setelah melihat perbandingan performa query secara logis, akhirnya tim sepakat menggunakan arsitektur star schema yang saya tawarkan. Proyek selesai, pipeline dideploy di Docker container, dbt run berhasil tanpa error, dan koneksi ke Looker Studio berhasil terintegrasi menggunakan service account.",65,60,75,90,50,50,3,impact_missing;measurable_result_missing;overly_technical,True,impact,66.75,0.6675,Average,1,0,0,1,1,229
AQD-04D014,Information & Technology,Data & AI,Data Analyst,Teamwork & Collaboration,Ceritakan pengalamanmu saat harus bekerja sama dalam tim untuk menyelesaikan sebuah proyek IT. Apa peran spesifikmu dan bagaimana kamu menangani perbedaan pendapat jika ada?,"Saya mau menceritakan kejadian sekitar setahun lalu saat kami migrasi dashboard performa pemasaran di perusahaan sebelumnya. Saat itu, saya membuat kesalahan fatal dalam menulis query SQL di server produksi yang menyebabkan database server down selama hampir satu jam pada hari Senin pagi saat tim marketing sedang meeting mingguan. Saya merasa bersalah sekali karena seluruh data reporting mereka menjadi tidak bisa diakses dan sempat menyajikan data konversi yang salah. Langkah pertama yang saya lakukan adalah segera mengakui kesalahan tersebut secara transparan di grup Slack tim dan meminta maaf kepada tim engineering serta user marketing. Saya langsung berkolaborasi dengan senior data engineer untuk mendiagnosis masalahnya. Kami menemukan adanya penulisan CROSS JOIN yang tidak sengaja terjadi akibat kesalahan penamaan alias tabel. Dalam menangani perbedaan pendapat saat itu, DevOps menyarankan untuk me-rollback seluruh migrasi, sementara saya dan data engineer melihat kita bisa memperbaikinya langsung dengan membuat temporary table terindeks dalam waktu tiga puluh menit. Saya mengajukan argumen berbasis data, menunjukkan estimasi waktu eksekusi query baru yang telah kami optimasi di local machine yang hanya memakan waktu dua detik dibanding query lama yang butuh lima menit. Akhirnya tim sepakat dengan solusi kami. Saya merefaktor kode SQL tersebut menggunakan PostgreSQL, mengoptimalkan indexing, dan mengunggahnya kembali setelah disetujui lewat peer review. Hasilnya, server kembali normal dalam waktu empat puluh lima menit, dan performa query dashboard kami justru meningkat tajam sebesar enam puluh persen, dari waktu load rata-rata lima belas detik menjadi hanya enam detik. Dampak jangka panjangnya, saya menginisiasi standarisasi proses peer-review query SQL sebelum push ke produksi untuk seluruh tim data analyst, yang berhasil menekan angka downtime akibat error query hingga nol persen dalam enam bulan setelahnya.",98,100,98,96,95,100,5,,False,none,98.0,0.98,Strong,1,1,1,1,1,271
AQD-007844,Information & Technology,Data & AI,Data Analyst,Adaptability & Problem Solving,Pernahkah kamu menghadapi situasi di mana spesifikasi proyek tiba-tiba berubah padahal tenggat waktu sudah dekat? Ceritakan bagaimana kamu merespons dan menyelesaikannya.,"Eee kalau soal spesifikasi berubah pas mepet deadline... Saya sebenarnya tipe orang yang fleksibel ya. Oh iya, saya jadi ingat waktu itu saya pernah ditunjuk jadi ketua divisi perlengkapan untuk acara festival seni budaya di kampus. Nah waktu itu, H-1 acara, tiba-tiba pihak dekorasi bilang kalau panggung utama gak bisa dipakai karena ada masalah teknis dari vendor. Padahal besok paginya itu acara sudah harus mulai. Akhirnya saya langsung berinisiatif buat koordinasi sama teman-teman panitia lain untuk sewa aula indoor di gedung serbaguna fakultas sebelah. Kami semua langsung gotong royong mindahin alat-alat malam itu juga sampai subuh. Akhirnya festival seni budayanya tetap bisa berjalan dengan lancar dan semua pengunjung juga merasa nyaman.",20,30,25,10,35,20,1,role_relevance_low;communication_unclear,True,role_relevance,23.0,0.23,Weak,0,0,0,0,1,111
AQD-8531C4,Information & Technology,Data & AI,Data Analyst,Adaptability & Problem Solving,Pernahkah kamu menghadapi situasi di mana spesifikasi proyek tiba-tiba berubah padahal tenggat waktu sudah dekat? Ceritakan bagaimana kamu merespons dan menyelesaikannya.,"Saya pernah mengalami situasi tersebut saat sedang mengerjakan proyek analisis churn rate kuartalan. Tiga hari sebelum tenggat waktu presentasi ke stakeholder, user tiba-tiba mengubah kriteria active user dari yang awalnya hanya berdasarkan frekuensi login mingguan menjadi kombinasi antara frekuensi login dan nominal transaksi minimum. Perubahan mendadak ini membuat seluruh query SQL yang sudah saya optimalkan di PostgreSQL menjadi tidak relevan karena relasi tabel dan kondisi filter agregasinya berubah total. Menghadapi hal ini, saya langsung merombak logic query tersebut. Saya menulis ulang query dengan mengimplementasikan Window Functions seperti DENSE_RANK() OVER (PARTITION BY user_id ORDER BY transaction_date DESC) untuk mendeteksi urutan transaksi terakhir secara sekuensial. Saya juga menyusun beberapa tingkatan Common Table Expressions (CTE) agar alur query menjadi modular dan mudah di-debug. Untuk mengatasi masalah performa akibat perubahan join conditions, saya melakukan tuning pada query planner dengan mematikan nested loop join secara manual di tingkat session dan memaksa PostgreSQL menggunakan hash join, serta meningkatkan alokasi memory work_mem agar proses sorting data transaksi yang sangat masif tidak tumpah ke temporary disk melainkan tetap diproses secara in-memory.",70,60,75,80,55,60,3,impact_missing;measurable_result_missing;overly_technical_explanation,True,impact,68.0,0.68,Average,1,0,0,1,1,173
AQD-58B1FF,Information & Technology,Data & AI,Data Analyst,Adaptability & Problem Solving,Pernahkah kamu menghadapi situasi di mana spesifikasi proyek tiba-tiba berubah padahal tenggat waktu sudah dekat? Ceritakan bagaimana kamu merespons dan menyelesaikannya.,"Pernah, itu terjadi sekitar setahun yang lalu saat saya memimpin proyek analisis churn user untuk tim marketing. Tiga hari sebelum tenggat waktu, tim marketing tiba-tiba mengubah definisi 'user aktif' dari tiga puluh hari menjadi tujuh hari saja. Kesalahan fatal saya waktu itu adalah, karena dikejar waktu, saya melakukan hardcoding pada seluruh query SQL dan pipeline feature engineering di script Python saya. Akibatnya, saat saya mencoba mengubah kueri tersebut secara terburu-buru, saya melakukan kesalahan fatal pada sintaks drop table yang tidak sengaja menghapus skema database staging produksi kami. Layanan dashboard analisis downtime total selama dua jam bagi tim marketing. Saya langsung mengakui kesalahan tersebut kepada tim tech lead saya. Aksi cepat yang saya lakukan adalah segera merestorasi database dari backup harian, yang untungnya selesai dalam waktu satu jam. Setelah itu, untuk menyelesaikan masalah spesifikasi yang berubah, saya memutuskan tidak lagi melakukan hardcoding. Saya merombak arsitektur pipeline ETL kami menggunakan Airflow dan membuat konfigurasi parameter dinamis lewat file YAML dan templating Jinja2. Jadi, variabel rentang hari aktif bisa diubah kapan saja tanpa menyentuh kode inti. Saya juga menulis ulang model klasifikasi di Python dengan parameter baru ini. Hasil akhirnya sangat memuaskan. Kami berhasil meluncurkan dashboard baru tepat pada hari tenggat waktu. Tidak hanya itu, berkat sistem pipeline dinamis yang baru saya buat, waktu yang dibutuhkan untuk deployment jika ada perubahan parameter di masa depan berkurang sebesar delapan puluh lima persen, dari yang tadinya butuh waktu enam jam menjadi hanya empat puluh lima menit saja. Model churn baru ini juga memberikan akurasi prediksi yang lebih tajam, naik sebesar empat persen menjadi sembilan puluh dua persen.",96,98,97,95,94,98,5,,False,none,96.45,0.9645,Strong,1,1,1,1,1,262
AQD-B10952,Information & Technology,Data & AI,Data Analyst,Resilience & Handling Failure,"Di dunia IT, bikin error atau sistem nge-bug itu hal biasa. Coba ceritakan satu pengalamanmu saat melakukan kesalahan cukup fatal di sebuah project. Apa yang kamu lakukan untuk memperbaikinya?","Ah iya jadi waktu itu saya pernah ngalamin error pas lagi ngerjain project data pipeline gitu. Waktu itu kan saya pake Python terus dikombinasikan sama SQL Server, Apache Spark, dan juga Hadoop buat big data-nya. Nah di situ kan saya harusnya konekin ke Airflow sama Docker kan, terus ada juga Jenkins buat CI/CD, terus databasenya pake PostgreSQL sama MongoDB, dbt juga buat transformasi datanya. Nah pas error itu saya langsung buru-buru buka PyCharm sama VS Code buat ngecek script Pandas, NumPy, Scikit-Learn, sama TensorFlow-nya. Terus saya juga sempet buka AWS, GCP, Azure, Snowflake, dbt Cloud, Tableau, Power BI, Excel, Jira, Git, GitHub, GitLab, Kubernetes, Airflow, Kafka, Spark Streaming, Redshift, BigQuery, pokoknya semuanya saya cek satu-satu pake tools-tools itu biar gak error lagi dan akhirnya kelar sih sistemnya jalan lagi.",40,20,20,30,25,20,1,context_missing;measurable_result_missing;action_missing;rambling,True,context,27.0,0.27,Weak,1,0,0,0,0,129
AQD-BB87B6,Information & Technology,Data & AI,Data Analyst,Resilience & Handling Failure,"Di dunia IT, bikin error atau sistem nge-bug itu hal biasa. Coba ceritakan satu pengalamanmu saat melakukan kesalahan cukup fatal di sebuah project. Apa yang kamu lakukan untuk memperbaikinya?","Saya pernah mengalami kesalahan fatal saat melakukan migrasi dan optimasi query data warehouse. Waktu itu saya sedang me-rewrite ETL script menggunakan PySpark di cluster Hadoop multi-node untuk daily active users. Saya tidak sengaja melakukan join operation tanpa mendefinisikan join key yang spesifik pada dua broadcast dataframe berukuran besar, sehingga engine Spark mengeksekusinya sebagai Cartesian product atau cross-join secara default. Akibat dari logical error di code saya ini, executor memory di JVM mengalami overhead heap memory limit, memicu OutOfMemory Error, dan seluruh tahapan stage pipeline langsung stuck. Begitu saya sadar query-nya gantung, saya langsung melakukan SSH ke master node, mengecek Yarn ResourceManager GUI, dan mengeksekusi command 'yarn application -kill' untuk menghentikan resource starvation di cluster. Saya kemudian merevisi logic code menggunakan `.repartition()` berbasis hashing key yang benar, menerapkan filter `.filter(col('user_id').isNotNull())` sebelum join untuk meminimalkan data skew, serta mengaktifkan parameter `spark.sql.crossJoin.enabled=false` agar sistem otomatis error di level compiler jika terjadi cross-join yang tidak disengaja di masa depan.",70,60,80,85,45,65,3,impact_missing;measurable_result_missing;jargon_overuse,True,impact,69.25,0.6925,Average,1,0,0,1,1,155
AQD-0F8D57,Information & Technology,Data & AI,Data Analyst,Resilience & Handling Failure,"Di dunia IT, bikin error atau sistem nge-bug itu hal biasa. Coba ceritakan satu pengalamanmu saat melakukan kesalahan cukup fatal di sebuah project. Apa yang kamu lakukan untuk memperbaikinya?","Waktu itu saya sedang memegang proyek migrasi dashboard performa harian menggunakan PostgreSQL dan Metabase. Kesalahan fatal saya adalah saat mengoptimasi query agregasi data transaksi yang berukuran jutaan baris, saya salah menulis join condition yang menyebabkan terjadinya cartesian product. Akibatnya, query tersebut mengalami timeout setelah berjalan empat puluh lima menit dan membuat penggunaan memori server database melonjak hingga sembilan puluh delapan persen, yang akhirnya membuat database crash dan seluruh dashboard internal perusahaan down di pagi hari saat direksi ingin menggunakannya. Tindakan pertama saya adalah langsung berkoordinasi dengan tim infrastruktur untuk me-restart database dan saya segera mengomunikasikan di grup koordinasi bahwa downtime tersebut disebabkan oleh query yang saya jalankan. Setelah itu, untuk memperbaikinya, saya menganalisis ulang query execution plan menggunakan EXPLAIN ANALYZE. Saya memperbaiki join condition-nya, memecah query raksasa tersebut menggunakan staging table sementara, dan menambahkan indexing pada kolom filter utama. Hasilnya sangat memuaskan, waktu eksekusi query yang tadinya timeout setelah empat puluh lima menit berhasil saya pangkas menjadi hanya dua menit saja, dan beban penggunaan memori server turun drastis serta stabil di angka lima belas persen. Kejadian ini mengajarkan saya untuk selalu melakukan load testing di environment staging sebelum men-deploy query ke production.",95,100,98,96,95,95,5,,False,none,96.75,0.9675,Strong,1,1,1,1,1,192
AQD-7AEC2D,Information & Technology,Data & AI,Data Analyst,Communication & Empathy,"Ceritakan momen di mana kamu harus menjelaskan istilah teknis yang sangat rumit kepada orang awam (seperti dosen penguji, klien, atau teman beda jurusan). Bagaimana caramu memastikannya paham?","Jadi waktu itu saya harus menjelaskan tentang sistem data pipeline kita ke klien awam. Saya langsung jelaskan saja kalau arsitektur kita itu sangat advanced karena menggunakan Hadoop ecosystem, Apache Spark, Apache Kafka untuk real-time streaming, terus datanya masuk ke PostgreSQL dan MongoDB. Untuk proses analytics-nya saya bilang kita pakai Python, Pandas, NumPy, Scikit-Learn, TensorFlow, Keras, dan PyTorch. Lalu untuk visualisasi datanya kita deploy ke Tableau, PowerBI, d3.js, dan Looker Studio. Tidak lupa saya jelaskan juga kalau kita pakai Docker, Kubernetes, AWS S3, EC2, Redshift, Snowflake, dbt, dan Apache Airflow untuk orchestration-nya. Saya sebutkan semua tools, ETL, ELT, CI/CD, MLOps, dan testing framework-nya biar mereka paham kalau kita pakai teknologi yang sangat canggih.",40,20,30,50,25,30,1,context_missing;measurable_result_missing;action_missing;overselling_buzzwords,True,context,33.0,0.33,Weak,1,0,0,0,0,112
